County,State,Pov_Num_All,Pov_Pct_All,Median_Income,Crime_Rate_per_100000,Murder,Rape,Robbery,Aggravated_Assault,Burglary,Larceny,Vehicle_Theft,Arson,Population,Mean_Rent,Median_Rent
Ouray County,CO,439.0,9.4,60402.0,21.94426158,0.0,0.0,0.0,1.0,4.0,24.0,0.0,0.0,4557.0,0.0,0.0
Park County,CO,1511.0,9.2,63319.0,124.0617828,0.0,3.0,0.0,17.0,27.0,41.0,2.0,4.0,16121.0,649.0,635.0
Phillips County,CO,478.0,11.1,48562.0,22.95684114,0.0,0.0,0.0,1.0,5.0,9.0,1.0,0.0,4356.0,324.0,251.0
Pitkin County,CO,1243.0,7.0,76663.0,155.3599171,0.0,6.0,1.0,20.0,26.0,368.0,6.0,2.0,17379.0,0.0,0.0
Prowers County,CO,2275.0,19.6,41348.0,154.5846554,0.0,0.0,2.0,17.0,61.0,245.0,12.0,0.0,12291.0,713.0,694.0
Pueblo County,CO,31501.0,19.8,40540.0,501.7002063,8.0,22.0,199.0,581.0,1962.0,4931.0,518.0,43.0,161451.0,684.0,700.0
San Juan County,CO,109.0,15.6,43489.0,81.88976378,0.0,4.0,0.0,9.0,73.0,133.0,11.0,0.0,15875.0,625.0,624.0
San Miguel County,CO,865.0,11.0,62793.0,78.14535035,0.0,0.0,0.0,6.0,8.0,105.0,2.0,0.0,7678.0,0.0,0.0
Sedgwick County,CO,323.0,13.6,40325.0,211.8644068,0.0,0.0,0.0,5.0,6.0,13.0,1.0,0.0,2360.0,911.0,760.0
Summit County,CO,2610.0,8.7,69633.0,129.1493595,1.0,17.0,2.0,17.0,68.0,771.0,20.0,7.0,28649.0,915.0,789.0
Teller County,CO,2052.0,8.8,66191.0,206.2298604,0.0,5.0,0.0,43.0,52.0,179.0,12.0,3.0,23275.0,1144.0,1085.0
Washington County,CO,534.0,11.4,47592.0,34.61405331,0.0,2.0,2.0,3.0,20.0,93.0,13.0,0.0,20223.0,875.0,876.0
Weld County,CO,31531.0,11.3,69434.0,274.2924922,6.0,61.0,89.0,583.0,971.0,4127.0,286.0,52.0,269785.0,1254.0,1126.0
Yuma County,CO,1388.0,14.1,48934.0,68.95872328,2.0,3.0,0.0,2.0,7.0,40.0,3.0,0.0,10151.0,692.0,690.0
Fairfield County,CT,83612.0,9.0,86297.0,159.2025096,4.0,47.0,108.0,79.0,951.0,3178.0,142.0,57.0,148867.0,576.0,649.0
Hartford County,CT,96763.0,11.1,69260.0,305.5867265,34.0,129.0,1153.0,1429.0,4293.0,16180.0,2020.0,140.0,898272.0,1750.0,1281.0
Litchfield County,CT,13383.0,7.4,70847.0,66.87209775,2.0,38.0,19.0,66.0,386.0,1877.0,103.0,8.0,186924.0,1085.0,1070.0
Middlesex County,CT,10744.0,6.7,82878.0,65.04367218,0.0,4.0,0.0,3.0,19.0,35.0,1.0,0.0,10762.0,1252.0,1228.0
New Haven County,CT,112801.0,13.6,61758.0,392.9086256,33.0,140.0,1351.0,1864.0,4218.0,18049.0,2108.0,58.0,862287.0,894.0,904.0
New London County,CT,28760.0,11.1,65602.0,208.2801386,5.0,42.0,99.0,425.0,662.0,2537.0,168.0,35.0,274150.0,1311.0,1211.0
Tolland County,CT,9593.0,7.1,81616.0,35.67252621,0.0,12.0,8.0,34.0,164.0,559.0,51.0,6.0,151377.0,906.0,918.0
Windham County,CT,12211.0,10.9,61303.0,62.07271862,0.0,11.0,21.0,41.0,194.0,561.0,74.0,8.0,117604.0,678.0,674.0
