County,State,Pov_Pct_All,Median_Income,Crime_Rate_per_100000,Population,Mean_Rent,Latitude,Longitude,Pct_Income_as_Rent
Shelby County,MO,0.305,0.183,Very Low,0.001,0.117,0.266,-94.245706,11.9
Stoddard County,MO,0.355,0.154,Very Low,0.003,0.0,0.477,-89.781927,0.0
Stone County,MO,0.259,0.187,Very Low,0.002,0.241,0.467,-93.397142,24.4
Sullivan County,MO,0.318,0.18,Very Low,0.002,0.172,0.46,-82.461254,17.7
Taney County,MO,0.286,0.159,Low,0.005,0.21,0.472,-93.173933,22.7
Texas County,MO,0.452,0.117,Very Low,0.003,0.192,0.478,-101.216113,23.4
Vernon County,MO,0.343,0.168,Very Low,0.003,0.183,0.771,-90.858193,19.4
Warren County,MO,0.202,0.282,Very Low,0.001,0.155,0.421,-85.860575,12.7
Washington County,MO,0.393,0.147,Very Low,0.002,0.247,0.761,-88.047646,27.6
Wayne County,MO,0.475,0.094,Very Low,0.002,0.148,0.537,-82.441558,19.4
Webster County,MO,0.359,0.199,Very Low,0.0,0.0,0.547,-80.373231,0.0
Worth County,MO,0.284,0.199,Very Low,0.0,0.078,0.635,-94.614602,7.6
Wright County,MO,0.47,0.095,Very Low,0.013,0.156,0.489,-92.418931,20.3
Beaverhead County,MT,0.309,0.177,Very Low,0.001,0.18,0.858,-108.746867,18.7
Big Horn County,MT,0.627,0.176,Very Low,0.001,0.0,0.796,-107.614964,0.0
Blaine County,MT,0.595,0.114,Very Low,0.0,0.066,0.447,-98.550984,8.2
Broadwater County,MT,0.168,0.276,Very Low,0.001,0.153,0.88,-111.631355,12.7
Carbon County,MT,0.189,0.257,Very Low,0.002,0.253,0.676,-106.811489,21.8
Carter County,MT,0.239,0.228,Very Low,0.0,0.145,0.455,-82.232529,13.3
Cascade County,MT,0.25,0.22,Very Low,0.008,0.182,0.938,-111.560869,17.0
Chouteau County,MT,0.323,0.169,Very Low,0.001,0.191,0.94,-110.767534,20.2
Custer County,MT,0.2,0.239,Very Low,0.0,0.172,0.769,-103.594582,15.5
Dawson County,MT,0.173,0.328,Very Low,0.002,0.0,0.291,-101.715847,0.0
Fallon County,MT,0.098,0.36,Very Low,0.0,0.212,0.89,-104.521103,15.1
Fergus County,MT,0.232,0.203,Very Low,0.001,0.145,0.939,-109.377281,14.1
Flathead County,MT,0.241,0.244,Very Low,0.009,0.227,0.977,-114.368879,20.1
Gallatin County,MT,0.17,0.335,Very Low,0.001,0.232,0.863,-111.648915,17.3
Garfield County,MT,0.245,0.224,Very Low,0.0,0.189,0.892,-117.596667,17.5
Glacier County,MT,0.561,0.085,Low,0.001,0.19,0.984,-113.142221,25.6
Golden Valley County,MT,0.382,0.146,Very Low,0.0,0.128,0.903,-103.982313,14.3
Granite County,MT,0.243,0.2,Very Low,0.0,0.179,0.886,-113.296002,17.6
Hill County,MT,0.405,0.207,Very Low,0.003,0.203,0.263,-96.928185,19.5
Jefferson County,MT,0.145,0.385,Very Low,0.001,0.379,0.579,-77.810685,25.8
Judith Basin County,MT,0.236,0.219,Very Low,0.0,0.148,0.915,-109.873339,13.9
Lake County,MT,0.395,0.16,Very Low,0.001,0.264,0.791,-97.215415,28.6
Lewis and Clark County,MT,0.2,0.329,Low,0.006,0.153,0.898,-112.101377,11.5
Liberty County,MT,0.309,0.167,Very Low,0.0,0.212,0.191,-95.095802,22.6
Lincoln County,MT,0.384,0.14,Very Low,0.0,0.0,0.736,-110.900716,0.0
Madison County,MT,0.182,0.262,Very Low,0.002,0.215,0.227,-95.7565,18.4
Meagher County,MT,0.316,0.18,Very Low,0.0,0.18,0.895,-110.903896,18.5
Mineral County,MT,0.295,0.162,Very Low,0.0,0.173,0.597,-78.761355,18.6
Missoula County,MT,0.282,0.215,Low,0.011,0.282,0.908,-113.825224,26.7
Musselshell County,MT,0.325,0.183,Low,0.0,0.12,0.891,-108.574114,12.2
Park County,MT,0.211,0.221,Very Low,0.002,0.183,0.792,-108.860971,17.1
Phillips County,MT,0.295,0.148,Very Low,0.0,0.091,0.977,-107.341334,10.2
Powder River County,MT,0.166,0.268,Very Low,0.0,0.176,0.833,-105.31155,14.9
Powell County,MT,0.334,0.193,Very Low,0.001,0.215,0.916,-113.181749,21.4
Prairie County,MT,0.207,0.187,Very Low,0.001,0.156,0.906,-105.312483,15.7
Ravalli County,MT,0.261,0.248,Very Low,0.004,0.232,0.899,-114.081347,20.4
Richland County,MT,0.082,0.44,Very Low,0.002,0.154,0.757,-90.38342,9.6
Roosevelt County,MT,0.475,0.158,Low,0.001,0.206,0.362,-103.354213,22.4
Rosebud County,MT,0.35,0.28,Very Low,0.001,0.153,0.855,-106.613368,12.6
Sanders County,MT,0.348,0.133,Very Low,0.001,0.0,0.957,-115.770857,0.0
Sheridan County,MT,0.136,0.271,Very Low,0.0,0.197,0.825,-107.166066,16.5
Silver Bow County,MT,0.302,0.192,Very Low,0.003,0.182,0.873,-112.539545,18.2
Stillwater County,MT,0.13,0.361,Low,0.001,0.201,0.859,-109.547281,14.3
Sweet Grass County,MT,0.166,0.247,Very Low,0.0,0.187,0.861,-109.779744,16.4
Teton County,MT,0.205,0.24,Very Low,0.001,0.453,0.763,-110.91455,40.6
Toole County,MT,0.309,0.204,Very Low,0.0,0.166,0.979,-111.862036,16.1
Valley County,MT,0.198,0.231,Very Low,0.0,0.125,0.678,-98.772679,11.4
Wheatland County,MT,0.38,0.124,Very Low,0.0,0.152,0.901,-109.753312,18.2
Yellowstone County,MT,0.159,0.334,Very Low,0.015,0.223,0.87,-108.162267,16.6
Adams County,NE,0.211,0.249,Very Low,0.0,0.218,0.965,-103.6106598,19.1
Antelope County,NE,0.2,0.249,Very Low,0.001,0.0,0.714,-98.125047,0.0
Blaine County,NE,0.3,0.213,Very Low,0.0,0.066,0.447,-98.550984,6.3
Boone County,NE,0.132,0.303,Very Low,0.001,0.149,0.526,-81.71774,11.8
Box Butte County,NE,0.186,0.308,Very Low,0.001,0.0,0.708,-102.982984,0.0
Boyd County,NE,0.2,0.191,Very Low,0.0,0.173,0.741,-99.097,17.3
Brown County,NE,0.209,0.233,Very Low,0.0,0.188,0.814,-88.234279,17.1
Buffalo County,NE,0.218,0.32,Very Low,0.0,0.186,0.798,-91.705204,14.2
Burt County,NE,0.186,0.261,Very Low,0.001,0.174,0.69,-96.224066,14.9
Butler County,NE,0.107,0.317,Very Low,0.001,0.223,0.657,-79.896456,17.1
Cass County,NE,0.084,0.424,Very Low,0.004,0.19,0.318,-94.15323,12.1
Cedar County,NE,0.136,0.322,Very Low,0.001,0.156,0.726,-97.266925,11.8
Chase County,NE,0.109,0.315,Very Low,0.0,0.227,0.534,-96.562014,17.4
Cherry County,NE,0.189,0.307,Very Low,0.001,0.0,0.727,-100.237122,0.0
Cheyenne County,NE,0.127,0.334,Very Low,0.001,0.176,0.662,-102.968591,13.1
Clay County,NE,0.155,0.277,Very Low,0.001,0.17,0.355,-98.231798,14.1
Colfax County,NE,0.17,0.27,Very Low,0.001,0.0,0.465,-105.103801,0.0
Cuming County,NE,0.148,0.331,Very Low,0.001,0.149,0.7,-96.573265,11.2
Custer County,NE,0.186,0.273,Very Low,0.0,0.172,0.769,-103.594582,14.4
Dakota County,NE,0.255,0.254,Very Low,0.041,0.174,0.719,-96.571302,15.1
Dawson County,NE,0.209,0.244,Very Low,0.002,0.0,0.291,-101.715847,0.0
